Marca temporal;¿Cúal es tu rango de edad;Género;¿Actualmente eres?;¿Alguna has comprado una pieza tejida a mano?;¿Que pieza compraste?;La pieza era para ti o era un regalo;¿Por qué elegiste esa pieza?;¿Cuanto pagaste por la pieza?;¿Por qué nunca has comprado una pieza tejida  a mano?;¿Que es lo que más valoras cuando compras una pieza tejida?;Si tuvieras que elegir entre uno de los siguientes productos ¿Cuál sería?;¿Cuanto estarías dispuesto a pagar por la pieza elegida anteriormente?;¿Te gustaría ser parte de algun taller de tejido para crear tu primera pieza con nosotros?;Elige máximo 2 piezas
21-09-2022 11:38;27 años a 35 años;Mujer;Estudiante, Trabajador;Sí;Bufanda;Para mi;El precio, El modelo;25;;Diseño, Acabados;Bufanda, Manta;40 a 59 soles;Sí;Bufanda, Manta
21-09-2022 11:42;22 años - 26 años;Mujer;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Para mi;Era un regalo;20 so;;Acabados;Amigurumi(un peluche hecho de hilo a mano);40 a 59 soles;Sí;Cartera, Bufanda
21-09-2022 11:46;17 años - 21 años;Varón;Estudiante;Sí;Manta;Para mi;La calidad de los materiales;120;;Materiales;Manta;91 a 150 soles;Sí;Bufanda, Un gorro
21-09-2022 11:47;22 años - 26 años;Varón;Trabajador;Sí;Un saco;Para mi;El modelo, La calidad de los materiales;50;;Precio, Diseño;Un saco, Un gorro;60 a 90 soles;No;
21-09-2022 11:55;27 años a 35 años;Varón;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;El modelo, La calidad de los materiales;50;;Materiales, Acabados;Amigurumi(un peluche hecho de hilo a mano), Unos guantes;60 a 90 soles;Sí;Bufanda, Flores
21-09-2022 12:02;17 años - 21 años;Mujer;Estudiante;Sí;Un gorro;Para mi;El modelo;45;;Materiales;Amigurumi(un peluche hecho de hilo a mano);40 a 59 soles;Sí;Cartera, Manta
21-09-2022 12:06;22 años - 26 años;Mujer;Estudiante;No;;;;;No me interesa;Diseño, Acabados;Cartera, Unos guantes;40 a 59 soles;No;
21-09-2022 12:07;17 años - 21 años;Varón;Estudiante;Sí;Unos guantes;Para mi;El modelo;20 soles;;Precio, Materiales;Un saco;60 a 90 soles;No;
21-09-2022 12:08;27 años a 35 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Acabados;Amigurumi(un peluche hecho de hilo a mano), Un saco;60 a 90 soles;Sí;Manta, Un gorro
21-09-2022 12:16;17 años - 21 años;Mujer;Estudiante;No;;;;;No se me ha presentado la ocasión;Precio, Diseño;Bufanda, Manta;60 a 90 soles;Sí;Bufanda, Manta
21-09-2022 12:20;17 años - 21 años;Mujer;Prefiero no decirlo;Sí;Unos guantes;Para mi;Porque era bonito;30 soles;;Que sea bonito ;Un gorro, Unos guantes;40 a 59 soles;No;
21-09-2022 12:33;27 años a 35 años;Mujer;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;La calidad de los materiales;60;;Diseño;Manta;60 a 90 soles;No;
21-09-2022 12:50;27 años a 35 años;Varón;Trabajador;No;;;;;No me interesa;Precio;Bufanda;40 a 59 soles;No;
21-09-2022 13:38;22 años - 26 años;Mujer;Estudiante;Sí;Bufanda;Para mi;El modelo;15;;Precio, Diseño;Un saco;40 a 59 soles;No;
21-09-2022 13:49;22 años - 26 años;Varón;Trabajador;Sí;Unos guantes;Para mi;El modelo;50;;Materiales, Diseño;Un saco;91 a 150 soles;No;
21-09-2022 14:09;22 años - 26 años;Varón;Prefiero no decirlo;No;;;;;No se me ha presentado la ocasión;Materiales, Diseño;Una chompa;40 a 59 soles;No;
21-09-2022 16:15;27 años a 35 años;Varón;Trabajador;No;;;;;No se me ha presentado la ocasión;Acabados;Un gorro, Unos guantes;40 a 59 soles;Sí;Un gorro, Unos guantes
21-09-2022 16:25;17 años - 21 años;Mujer;Estudiante;Sí;Manta;Para mi;La calidad de los materiales;45;;Precio, Acabados;Manta, Un saco;40 a 59 soles;Sí;Bufanda, Manta
21-09-2022 18:52;22 años - 26 años;Mujer;Trabajador;No;;;;;No me interesa;Que sea hipoalergenico, Acabados;Manta;40 a 59 soles;No;
21-09-2022 19:06;27 años a 35 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Precio, Diseño;Bufanda, Un gorro;40 a 59 soles;No;
21-09-2022 19:09;27 años a 35 años;Mujer;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;El modelo;60 soles;;Materiales, Que sea hipoalergenico;Manta;60 a 90 soles;No;
21-09-2022 19:11;22 años - 26 años;Varón;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Para mi;El precio, La calidad de los materiales;30;;Precio, Diseño;Amigurumi(un peluche hecho de hilo a mano);40 a 59 soles;No;
21-09-2022 19:29;27 años a 35 años;Varón;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;El modelo, La calidad de los materiales;100;;Materiales, Acabados;Bufanda, Amigurumi(un peluche hecho de hilo a mano);91 a 150 soles;No;
21-09-2022 20:20;27 años a 35 años;Varón;Trabajador;Sí;Un gorro;Para mi;El modelo, La calidad de los materiales;60;;Materiales, Diseño;Bufanda, Un gorro;60 a 90 soles;No;
21-09-2022 20:31;46 años a 55 años;Varón;Trabajador;No;;;;;No se me ha presentado la ocasión;Materiales, Diseño;Bufanda, Unos guantes;40 a 59 soles;Sí;Bufanda, Manta
21-09-2022 21:29;22 años - 26 años;Mujer;Trabajador;Sí;Un saco;Para mi;Queria una prenda asi ;150;;Acabados;Un saco, Un gorro;151 a 190 soles;No;
21-09-2022 22:13;22 años - 26 años;Mujer;Trabajador;No;;;;;No se me ha presentado la ocasión;Diseño, Acabados;Un saco, Un gorro;91 a 150 soles;Sí;Un gorro, Unos guantes
21-09-2022 22:26;22 años - 26 años;Varón;Trabajador;Sí;Amigurumi(un peluche hecho de hilo a mano);Era un regalo;El modelo;120;;Materiales, Diseño;Amigurumi(un peluche hecho de hilo a mano);60 a 90 soles;No;
21-09-2022 23:02;27 años a 35 años;Mujer;Trabajador;Sí;Unos guantes;Para mi;El modelo;20;;Diseño;Un saco;91 a 150 soles;Sí;Manta, Unos guantes
22-09-2022 1:07;27 años a 35 años;Mujer;Trabajador;Sí;Manta;Era un regalo;La calidad de los materiales;120;;Materiales;Manta;91 a 150 soles;Sí;Bufanda, Manta
22-09-2022 1:18;27 años a 35 años;Varón;Trabajador;Sí;Bufanda;Para mi;El modelo, La calidad de los materiales;150;;Materiales, Diseño;Bufanda, Un gorro;91 a 150 soles;No;
22-09-2022 1:18;22 años - 26 años;Mujer;Trabajador;Sí;Un saco;Para mi;El modelo, La calidad de los materiales;150;;Materiales, Diseño;Bufanda, Manta;151 a 190 soles;Sí;Bufanda, Manta
22-09-2022 20:30;22 años - 26 años;Mujer;Trabajador;No;;;;;No he encontrado algo que llame mi atención;Diseño, Acabados;Un saco, Unos guantes;60 a 90 soles;Sí;Manta, Unos guantes
23-09-2022 13:06;22 años - 26 años;Varón;Estudiante;Sí;Un gorro;Para mi;La calidad de los materiales;70 soles;;Materiales;Un gorro;60 a 90 soles;No;
24-09-2022 10:52;22 años - 26 años;Mujer;Trabajador;Sí;Un saco;Para mi;La calidad de los materiales;60;;Que sea hipoalergenico;Manta;40 a 59 soles;Sí;Manta, Un gorro
25-09-2022 20:42;27 años a 35 años;Mujer;Trabajador;Sí;Un gorro;Para mi;El modelo;10 soles;;Diseño;Chompas;60 a 90 soles;Sí;Bufanda, Chompa
